"","BLOCK","Fertilizer","Mowing","Ditch","treatment","QUADRAT..","DATA.TYPE","Year","alpha","H","D1","J"
"277",8,0,0,0,"C",43,"p cover",2006,15,2.34791418045319,0.880888771808514,0.867012797435424
"278",8,0,0,0,"C",44,"p cover",2006,15,1.80760302373276,0.740181814727024,0.667492435331163
"279",8,0,0,0,"C",45,"p cover",2006,22,2.27770583625002,0.833745088250732,0.736873035753802
"280",8,1,0,0,"F",46,"p cover",2006,14,2.18370100605648,0.863157698140539,0.827454933074469
"281",8,1,0,0,"F",47,"p cover",2006,13,2.31877008526917,0.883926212181266,0.904021780595306
"282",8,1,0,0,"F",48,"p cover",2006,16,2.33721594397019,0.876199538638985,0.842972462963104
"283",8,0,1,0,"M",91,"p cover",2006,21,2.53007085301694,0.897036266945164,0.831023881337801
"284",8,0,1,0,"M",92,"p cover",2006,25,2.41398454229036,0.870608597142157,0.749946463805948
"285",8,0,1,0,"M",93,"p cover",2006,21,2.2464227396564,0.852268756348552,0.737857179773715
"286",8,1,1,0,"MF",94,"p cover",2006,16,2.28941408452153,0.864799004913173,0.82573158657014
"287",8,1,1,0,"MF",95,"p cover",2006,20,2.25909504164665,0.831888477955623,0.754104451051818
"288",8,1,1,0,"MF",96,"p cover",2006,18,2.3030510324519,0.866892235604395,0.796800974186186
"289",1,0,0,1,"C",1,"p cover",2007,15,1.96700675119472,0.787810712011474,0.72635534983588
"290",1,0,0,1,"C",2,"p cover",2007,14,2.20698103338085,0.850802414086699,0.836276275098049
"291",1,0,0,1,"C",3,"p cover",2007,15,2.25935502892608,0.874270229419391,0.834310615071499
"292",1,1,0,1,"F",4,"p cover",2007,8,1.76853715453301,0.784127690370173,0.850486594157551
"293",1,1,0,1,"F",5,"p cover",2007,10,1.76452436932076,0.751583203055416,0.766323196779822
"294",1,1,0,1,"F",6,"p cover",2007,7,1.28977240817373,0.608161813066294,0.662811902594723
"295",1,0,1,1,"M",49,"p cover",2007,16,2.06646448701435,0.817251282254473,0.745319516897188
"296",1,0,1,1,"M",50,"p cover",2007,17,2.38977533352475,0.890368992195179,0.843485838628514
"297",1,0,1,1,"M",51,"p cover",2007,19,2.32024599219207,0.869179419196339,0.788009535469784
"298",1,1,1,1,"MF",52,"p cover",2007,12,1.78122495822769,0.79943468822696,0.716817655254637
"299",1,1,1,1,"MF",53,"p cover",2007,11,1.91839573186475,0.794622794343862,0.800033159757622
"300",1,1,1,1,"MF",54,"p cover",2007,11,1.64120296909554,0.714134178106298,0.684434799014485
"301",2,0,0,0,"C",7,"p cover",2007,11,1.56676318049003,0.702449137210461,0.653390995955214
"302",2,0,0,0,"C",8,"p cover",2007,12,2.07518333530713,0.850315519519935,0.835115208647444
"303",2,0,0,0,"C",9,"p cover",2007,21,2.34214728926921,0.862696876452106,0.769298744607242
"304",2,1,0,0,"F",10,"p cover",2007,10,1.94805899132351,0.824051667413697,0.846031270353816
"305",2,1,0,0,"F",11,"p cover",2007,11,2.11356874440974,0.853654379399995,0.881426627920734
"306",2,1,0,0,"F",12,"p cover",2007,12,2.19689193079415,0.857970926551474,0.884094350579157
"307",2,0,1,0,"M",55,"p cover",2007,22,2.60852842589032,0.907472481741935,0.843899255753099
"308",2,0,1,0,"M",56,"p cover",2007,17,1.96508018072393,0.787574880893756,0.693587083671782
"309",2,0,1,0,"M",57,"p cover",2007,15,2.18355699758429,0.846697330176682,0.806320723558064
"310",2,1,1,0,"MF",58,"p cover",2007,10,1.30652289720027,0.611069953543224,0.567415684734329
"311",2,1,1,0,"MF",59,"p cover",2007,16,2.31244950471297,0.866118045743475,0.834039858188886
"312",2,1,1,0,"MF",60,"p cover",2007,16,1.73513759399318,0.704812512060503,0.625818600528492
"313",3,0,0,1,"C",13,"p cover",2007,11,1.62679667408504,0.659811880025616,0.678426907354693
"314",3,0,0,1,"C",14,"p cover",2007,14,2.37952720078033,0.88854141051422,0.901658017837465
"315",3,0,0,1,"C",15,"p cover",2007,10,1.81934836117705,0.793709475977891,0.790132953918915
"316",3,1,0,1,"F",16,"p cover",2007,9,1.95788780065422,0.833138435475378,0.891073138744808
"317",3,1,0,1,"F",17,"p cover",2007,9,1.83779456382819,0.803214897078584,0.83641635123899
"318",3,1,0,1,"F",18,"p cover",2007,7,1.63253030917152,0.762075190326487,0.838954619751618
"319",3,0,1,1,"M",61,"p cover",2007,14,1.8209877654199,0.793981832739961,0.690014477891382
"320",3,0,1,1,"M",62,"p cover",2007,12,1.81973061525612,0.795226446707874,0.732313471579053
"321",3,0,1,1,"M",63,"p cover",2007,15,1.97522229178181,0.784846082640793,0.729389097357897
"322",3,1,1,1,"MF",64,"p cover",2007,9,1.86641208160227,0.82479007108818,0.849440744862319
"323",3,1,1,1,"MF",65,"p cover",2007,13,2.07086637602132,0.835030672424352,0.807371252768439
"324",3,1,1,1,"MF",66,"p cover",2007,12,1.52239615147217,0.678981933243702,0.612657280949386
"325",4,0,0,0,"C",19,"p cover",2007,13,2.32438483983532,0.88512143281658,0.906210811949793
"326",4,0,0,0,"C",20,"p cover",2007,11,2.13804725314563,0.860478544939899,0.891634958957364
"327",4,0,0,0,"C",21,"p cover",2007,16,2.49004127642474,0.905733425096359,0.898092550276701
"328",4,1,0,0,"F",22,"p cover",2007,6,1.40379019260714,0.722732374247526,0.783470223942467
"329",4,1,0,0,"F",23,"p cover",2007,9,1.91694034813209,0.8255539773303,0.872437149986767
"330",4,1,0,0,"F",24,"p cover",2007,9,1.74674203505373,0.793472857077046,0.794976559551947
"331",4,0,1,0,"M",67,"p cover",2007,20,2.48886580303246,0.892182921010806,0.830803815482413
"332",4,0,1,0,"M",68,"p cover",2007,24,2.66513290637867,0.913341303289484,0.838605337936292
"333",4,0,1,0,"M",69,"p cover",2007,18,2.10619161045538,0.791213231320669,0.728692288354086
"334",4,1,1,0,"MF",70,"p cover",2007,16,1.96186267858936,0.802871839603842,0.707592389326501
"335",4,1,1,0,"MF",71,"p cover",2007,15,2.21942802862682,0.85623237754257,0.81956679670247
"336",4,1,1,0,"MF",72,"p cover",2007,16,1.971776039881,0.800187849550507,0.711167878619998
"337",5,0,0,1,"C",25,"p cover",2007,10,1.99892950712461,0.830650631174445,0.868124054657805
"338",5,0,0,1,"C",26,"p cover",2007,11,1.83532814167815,0.797917029521888,0.765391283972257
"339",5,0,0,1,"C",27,"p cover",2007,10,1.86436901411743,0.814316267019566,0.809685175062604
"340",5,1,0,1,"F",28,"p cover",2007,13,1.98454444182064,0.788542935657775,0.773716812789118
"341",5,1,0,1,"F",29,"p cover",2007,6,1.50534958882349,0.728080744607562,0.840151602196941
"342",5,1,0,1,"F",30,"p cover",2007,9,1.96923319905541,0.841168901948099,0.896236652078046
"343",5,0,1,1,"M",73,"p cover",2007,21,2.19565634358208,0.843443571895029,0.721182513348105
"344",5,0,1,1,"M",74,"p cover",2007,17,1.87096187007214,0.786192654277301,0.660367449559426
"345",5,0,1,1,"M",75,"p cover",2007,15,2.16164155489077,0.833447370882321,0.7982280217741
"346",5,1,1,1,"MF",76,"p cover",2007,14,2.02373549688411,0.808815474301899,0.766840293378222
"347",5,1,1,1,"MF",77,"p cover",2007,14,1.73057491032225,0.703653249102969,0.65575495117211
"348",5,1,1,1,"MF",78,"p cover",2007,12,2.03723927764275,0.844422560982086,0.819845396532926
"349",6,0,0,0,"C",31,"p cover",2007,15,2.60189375671514,0.919198542556963,0.960799676333969
"350",6,0,0,0,"C",32,"p cover",2007,18,2.44405403340461,0.885171215904959,0.845584664577396
"351",6,0,0,0,"C",33,"p cover",2007,16,2.37745567583757,0.875872127704264,0.857485878366045
"352",6,1,0,0,"F",34,"p cover",2007,12,1.99507141751551,0.828171828839839,0.802875801264292
"353",6,1,0,0,"F",35,"p cover",2007,11,2.20015511083841,0.875238851430007,0.917535947377218
"354",6,1,0,0,"F",36,"p cover",2007,10,2.00611958380308,0.841643314255983,0.871246665283724
"355",6,0,1,0,"M",79,"p cover",2007,17,2.22266371047693,0.835987980618795,0.784502767904804
"356",6,0,1,0,"M",80,"p cover",2007,16,2.24877715377144,0.870089855638113,0.811074911952614
"357",6,0,1,0,"M",81,"p cover",2007,22,2.51084106071787,0.890572602093969,0.812295883542434
"358",6,1,1,0,"MF",82,"p cover",2007,12,1.50021637982193,0.614232640272129,0.603731484218904
"359",6,1,1,0,"MF",83,"p cover",2007,15,2.1378962627887,0.84393939042187,0.789459612646232
"360",6,1,1,0,"MF",84,"p cover",2007,17,2.27714784522567,0.85486843181355,0.803733276917845
"361",7,0,0,1,"C",37,"p cover",2007,13,2.40581690791295,0.897412294938547,0.937958833734604
"362",7,0,0,1,"C",38,"p cover",2007,7,1.54832880846047,0.739417348429511,0.795683608111166
"363",7,0,0,1,"C",39,"p cover",2007,8,1.61545739397539,0.735673560195891,0.776870790351903
"364",7,1,0,1,"F",40,"p cover",2007,10,1.89628567805544,0.79381213935086,0.823546406091642
"365",7,1,0,1,"F",41,"p cover",2007,9,1.91041791531022,0.815224086551871,0.869468662883017
"366",7,1,0,1,"F",42,"p cover",2007,12,2.23612230117895,0.876228970483559,0.899881813012867
"367",7,0,1,1,"M",85,"p cover",2007,17,1.97985446503945,0.77250665157227,0.698801757796666
"368",7,0,1,1,"M",86,"p cover",2007,15,2.0829772866009,0.83186050972377,0.769179716739778
"369",7,0,1,1,"M",87,"p cover",2007,13,1.72508953947781,0.697126880328857,0.67256280692617
"370",7,1,1,1,"MF",88,"p cover",2007,13,1.81453375155117,0.774015603604198,0.707434533267731
"371",7,1,1,1,"MF",89,"p cover",2007,11,1.82661516574908,0.802177989496538,0.761757690784136
"372",7,1,1,1,"MF",90,"p cover",2007,12,1.71953337392349,0.766013902627377,0.691991135389408
"373",8,0,0,0,"C",43,"p cover",2007,10,1.97673227034329,0.823916437098255,0.858483917210178
"374",8,0,0,0,"C",44,"p cover",2007,14,1.95465709105955,0.78850095880447,0.740664884057111
"375",8,0,0,0,"C",45,"p cover",2007,19,2.37677191855233,0.883319671955538,0.807207055527156
"376",8,1,0,0,"F",46,"p cover",2007,8,1.75550696266327,0.791209941007653,0.844220396426784
"377",8,1,0,0,"F",47,"p cover",2007,10,1.91334126076342,0.810943693024178,0.830953551547364
"378",8,1,0,0,"F",48,"p cover",2007,14,2.30654469663664,0.881255987191922,0.874003255159639
"379",8,0,1,0,"M",91,"p cover",2007,25,2.6514071257185,0.904705691479532,0.823705936474595
"380",8,0,1,0,"M",92,"p cover",2007,19,2.22531157064166,0.820582015904473,0.755767596607365
"381",8,0,1,0,"M",93,"p cover",2007,20,2.1806946015608,0.82919994496963,0.727933741213038
"382",8,1,1,0,"MF",94,"p cover",2007,12,1.96690903029065,0.789462916141567,0.791542422914944
"383",8,1,1,0,"MF",95,"p cover",2007,18,1.82338409242021,0.721929279946875,0.630847602021757
"384",8,1,1,0,"MF",96,"p cover",2007,17,1.93441344861735,0.796054209426746,0.682763072775845
"385",1,0,0,1,"C",1,"p cover",2008,12,1.91230826451159,0.801415211749361,0.76956945834353
"386",1,0,0,1,"C",2,"p cover",2008,11,1.90958948918433,0.800523596943623,0.796360671313144
"387",1,0,0,1,"C",3,"p cover",2008,13,2.03589654693937,0.819868122347757,0.793737521958035
"388",1,1,0,1,"F",4,"p cover",2008,6,1.45736060715888,0.720113483665071,0.813368441572551
"389",1,1,0,1,"F",5,"p cover",2008,11,1.96404169023988,0.824954935225889,0.819069002937655
"390",1,1,0,1,"F",6,"p cover",2008,5,0.913634898831618,0.427707788856911,0.567673280076921
"391",1,0,1,1,"M",49,"p cover",2008,13,2.28008257263243,0.878042623827761,0.888938631867949
"392",1,0,1,1,"M",50,"p cover",2008,16,2.46848620780334,0.903883234013926,0.89031820262517
"393",1,0,1,1,"M",51,"p cover",2008,19,2.57987214908408,0.909115440590282,0.876184620343001
"394",1,1,1,1,"MF",52,"p cover",2008,9,1.6247600747402,0.746753657320931,0.739460176942842
"395",1,1,1,1,"MF",53,"p cover",2008,16,2.39000618558514,0.893677599995406,0.862012517909406
"396",1,1,1,1,"MF",54,"p cover",2008,9,1.69006705954883,0.74043548843357,0.76918266661561
"397",2,0,0,0,"C",7,"p cover",2008,8,1.69717853081904,0.785016529281989,0.816170349971949
"398",2,0,0,0,"C",8,"p cover",2008,13,2.06871688611415,0.815953839217369,0.806533228461674
"399",2,0,0,0,"C",9,"p cover",2008,14,2.2907888887589,0.877335538945154,0.868033014308508
"400",2,1,0,0,"F",10,"p cover",2008,10,2.12154610269145,0.86443440330212,0.921375765502245
"401",2,1,0,0,"F",11,"p cover",2008,9,1.57568739850471,0.739912328604903,0.717126239510289
"402",2,1,0,0,"F",12,"p cover",2008,8,1.79388792666197,0.804709785474243,0.862677738568605
"403",2,0,1,0,"M",55,"p cover",2008,13,2.27460195365128,0.87278863862231,0.886801896121018
"404",2,0,1,0,"M",56,"p cover",2008,18,2.2434474309987,0.848694940080386,0.776179543295723
"405",2,0,1,0,"M",57,"p cover",2008,12,1.94200270374178,0.783865874411179,0.781519379775276
"406",2,1,1,0,"MF",58,"p cover",2008,11,1.82703478174083,0.771314009237126,0.761932684244656
"407",2,1,1,0,"MF",59,"p cover",2008,12,2.14774652092017,0.846967565982984,0.864316782726389
"408",2,1,1,0,"MF",60,"p cover",2008,16,2.22150385424891,0.865797315181088,0.801238148460157
"409",3,0,0,1,"C",13,"p cover",2008,7,1.62523256294749,0.746363242032119,0.835204320064056
"410",3,0,0,1,"C",14,"p cover",2008,12,2.07981828000991,0.853613462538659,0.836980447610516
"411",3,0,0,1,"C",15,"p cover",2008,9,1.48815876839775,0.680329567933518,0.677290243222155
"412",3,1,0,1,"F",16,"p cover",2008,7,1.6561283473513,0.788693821259751,0.851081612455386
"413",3,1,0,1,"F",17,"p cover",2008,10,1.48998846144345,0.683342607026594,0.647093766904407
"414",3,1,0,1,"F",18,"p cover",2008,9,1.39107194254454,0.666687117524458,0.633104124582019
"415",3,0,1,1,"M",61,"p cover",2008,14,2.11455622458884,0.847160353287516,0.801254372483494
"416",3,0,1,1,"M",62,"p cover",2008,14,2.02371851321728,0.810912936684461,0.766833857873149
"417",3,0,1,1,"M",63,"p cover",2008,13,2.07572234233228,0.838114423729005,0.80926445440099
"418",3,1,1,1,"MF",64,"p cover",2008,10,1.88914117985662,0.802088543048464,0.82044358994793
"419",3,1,1,1,"MF",65,"p cover",2008,10,2.02393454907911,0.843211594026156,0.878983606398403
"420",3,1,1,1,"MF",66,"p cover",2008,9,1.86131965796298,0.823150956332183,0.847123082984774
"421",4,0,0,0,"C",19,"p cover",2008,14,2.41002753642203,0.897167780259667,0.913215302061432
"422",4,0,0,0,"C",20,"p cover",2008,12,2.11598219614864,0.859249480297468,0.851533878075124
"423",4,0,0,0,"C",21,"p cover",2008,17,2.33481663525517,0.850888888888889,0.824087829514629
"424",4,1,0,0,"F",22,"p cover",2008,5,1.1986348006728,0.608642404449331,0.74475367543691
"425",4,1,0,0,"F",23,"p cover",2008,9,1.83691376675251,0.808573888898849,0.836015483214498
"426",4,1,0,0,"F",24,"p cover",2008,13,2.24122902653469,0.870821296142908,0.873790751468393
"427",4,0,1,0,"M",67,"p cover",2008,19,2.36646346611936,0.862908917736388,0.803706065183697
"428",4,0,1,0,"M",68,"p cover",2008,18,2.38587078231515,0.874077127285135,0.825454641188362
"429",4,0,1,0,"M",69,"p cover",2008,18,2.46144178345789,0.892493162310916,0.851600413245636
"430",4,1,1,0,"MF",70,"p cover",2008,14,2.1992420639818,0.865239437785218,0.833343800190359
"431",4,1,1,0,"MF",71,"p cover",2008,15,1.77051101822821,0.734278703700334,0.653795493712633
"432",4,1,1,0,"MF",72,"p cover",2008,13,1.8464975417039,0.78018813052603,0.719896295937527
"433",5,0,0,1,"C",25,"p cover",2008,13,2.12704612679469,0.850547587632446,0.829274122160358
"434",5,0,0,1,"C",26,"p cover",2008,11,1.95267534455215,0.798905187906499,0.814328868613747
"435",5,0,0,1,"C",27,"p cover",2008,6,1.20819715807966,0.59595034818161,0.674307672893274
"436",5,1,0,1,"F",28,"p cover",2008,12,2.11957161065123,0.848695492784881,0.852978364733364
"437",5,1,0,1,"F",29,"p cover",2008,10,1.89356569383217,0.806562138429752,0.822365131952616
"438",5,1,0,1,"F",30,"p cover",2008,5,1.37655537947596,0.720158073772694,0.855301946624379
"439",5,0,1,1,"M",73,"p cover",2008,20,2.71818734373862,0.920170369194546,0.907353226366219
"440",5,0,1,1,"M",74,"p cover",2008,14,1.9491915508678,0.796644338215362,0.738593864177996
"441",5,0,1,1,"M",75,"p cover",2008,15,2.26423478087745,0.864548946870506,0.836112558015311
"442",5,1,1,1,"MF",76,"p cover",2008,13,1.94798393695919,0.808800214472532,0.75946292323177
"443",5,1,1,1,"MF",77,"p cover",2008,16,2.21875730102552,0.849718530989206,0.800247538781426
"444",5,1,1,1,"MF",78,"p cover",2008,11,2.00018785994042,0.837771465605524,0.834143126528698
"445",6,0,0,0,"C",31,"p cover",2008,15,2.134686105783,0.846424772466205,0.788274199981283
"446",6,0,0,0,"C",32,"p cover",2008,15,2.33839941963548,0.874196272687603,0.863499287673369
"447",6,0,0,0,"C",33,"p cover",2008,13,2.22871972605606,0.869080208108511,0.868913734913568
"448",6,1,0,0,"F",34,"p cover",2008,10,1.95386325842805,0.824465279210117,0.848552031528808
"449",6,1,0,0,"F",35,"p cover",2008,16,2.43840005840018,0.892347820443483,0.879466917989326
"450",6,1,0,0,"F",36,"p cover",2008,9,1.73709085240031,0.791429803793768,0.790584117034706
"451",6,0,1,0,"M",79,"p cover",2008,14,2.05943424003953,0.826004373432246,0.780367374717007
"452",6,0,1,0,"M",80,"p cover",2008,17,2.13770532529815,0.836474888670377,0.754516185582294
"453",6,0,1,0,"M",81,"p cover",2008,20,2.37698640363114,0.869832386087522,0.793457554473384
"454",6,1,1,0,"MF",82,"p cover",2008,13,1.64818317212412,0.740992628738489,0.642579225718234
"455",6,1,1,0,"MF",83,"p cover",2008,11,1.9605373807822,0.822196616683716,0.81760759238423
"456",6,1,1,0,"MF",84,"p cover",2008,12,1.91232362214828,0.798417201746392,0.769575638711188
"457",7,0,0,1,"C",37,"p cover",2008,11,2.18648253345874,0.870631214442873,0.911834039735644
"458",7,0,0,1,"C",38,"p cover",2008,6,1.45150956409092,0.68251972825442,0.81010291225991
"459",7,0,0,1,"C",39,"p cover",2008,6,1.28828584377728,0.630942922926983,0.71900601944764
"460",7,1,0,1,"F",40,"p cover",2008,7,1.45981588301589,0.689751665972511,0.750196962446898
"461",7,1,0,1,"F",41,"p cover",2008,6,1.73275980071064,0.81667769818829,0.967071658037432
"462",7,1,0,1,"F",42,"p cover",2008,10,2.10763722099567,0.857016931215747,0.915335214932324
"463",7,0,1,1,"M",85,"p cover",2008,17,2.34781960099954,0.869539577161166,0.828677305902509
"464",7,0,1,1,"M",86,"p cover",2008,14,1.934273656192,0.788171112882653,0.732941128063327
"465",7,0,1,1,"M",87,"p cover",2008,14,2.13622910894891,0.835703028664143,0.809466730781609
"466",7,1,1,1,"MF",88,"p cover",2008,11,1.9649063297842,0.828481833374905,0.819429585634543
"467",7,1,1,1,"MF",89,"p cover",2008,13,2.08211866024865,0.840074360312461,0.811758194832069
"468",7,1,1,1,"MF",90,"p cover",2008,9,1.98804368739787,0.852421959908224,0.904797674258704
"469",8,0,0,0,"C",43,"p cover",2008,8,1.72724039220002,0.763738639319102,0.830627049416691
"470",8,0,0,0,"C",44,"p cover",2008,12,1.75387679112521,0.716909411413544,0.705811943187019
"471",8,0,0,0,"C",45,"p cover",2008,15,1.89354338156471,0.770917561623,0.699227577389081
"472",8,1,0,0,"F",46,"p cover",2008,11,2.14288008112027,0.863379720943823,0.893650404764971
"473",8,1,0,0,"F",47,"p cover",2008,13,2.26639258571529,0.867691033713761,0.883601299621087
"474",8,1,0,0,"F",48,"p cover",2008,11,2.1459004890904,0.850975919263645,0.894910012723828
"475",8,0,1,0,"M",91,"p cover",2008,19,2.47989577977787,0.881670186748836,0.842230318687031
"476",8,0,1,0,"M",92,"p cover",2008,19,2.47082394508491,0.87655246039123,0.839149312506516
"477",8,0,1,0,"M",93,"p cover",2008,18,2.18300344385674,0.849253324824833,0.755267358910849
"478",8,1,1,0,"MF",94,"p cover",2008,14,2.08388296064637,0.816573021539617,0.789631561717597
"479",8,1,1,0,"MF",95,"p cover",2008,15,1.90131328482052,0.742141615327152,0.702096764693159
"480",8,1,1,0,"MF",96,"p cover",2008,12,1.88028338783888,0.782808302303008,0.756681699893753
"481",1,0,0,1,"C",1,"p cover",2009,12,1.79791743294051,0.791746044407497,0.723535201249472
"482",1,0,0,1,"C",2,"p cover",2009,14,1.75979987505602,0.721833038380799,0.666828967793807
"483",1,0,0,1,"C",3,"p cover",2009,15,2.18045392559596,0.858066973287623,0.805174854110344
"484",1,1,0,1,"F",4,"p cover",2009,5,1.30618210647716,0.678528202947846,0.811576573650925
"485",1,1,0,1,"F",5,"p cover",2009,9,1.50906796735281,0.644191016275792,0.686806429765278
"486",1,1,0,1,"F",6,"p cover",2009,10,1.29008809685097,0.554312660784328,0.560278141631443
"487",1,0,1,1,"M",49,"p cover",2009,15,1.81982484795669,0.722004028142129,0.672005580700091
"488",1,0,1,1,"M",50,"p cover",2009,15,2.27369306209638,0.87201835137777,0.839605211591336
"489",1,0,1,1,"M",51,"p cover",2009,19,2.47632790341986,0.896121511965668,0.841018584844607
"490",1,1,1,1,"MF",52,"p cover",2009,10,1.38154411298252,0.602905927791596,0.599996984774231
"491",1,1,1,1,"MF",53,"p cover",2009,12,2.17807094498912,0.8675834946243,0.876520228707562
"492",1,1,1,1,"MF",54,"p cover",2009,11,1.92271538757908,0.813252176364775,0.801834596110299
"493",2,0,0,0,"C",7,"p cover",2009,8,1.72018384956295,0.793892996379993,0.827233569727249
"494",2,0,0,0,"C",8,"p cover",2009,11,1.8865357869179,0.801748596453237,0.786746530725794
"495",2,0,0,0,"C",9,"p cover",2009,14,2.24834793294063,0.873086489440762,0.851951152295888
"496",2,1,0,0,"F",10,"p cover",2009,10,2.10593740481331,0.856242441754601,0.914596994144075
"497",2,1,0,0,"F",11,"p cover",2009,10,1.92472188527856,0.820995221314425,0.835896093974902
"498",2,1,0,0,"F",12,"p cover",2009,10,1.67092485071646,0.747578617178866,0.725673442341175
"499",2,0,1,0,"M",55,"p cover",2009,14,2.23768610566944,0.870788008752097,0.84791113878366
"500",2,0,1,0,"M",56,"p cover",2009,21,2.07218834038204,0.791636175546478,0.680628368740663
"501",2,0,1,0,"M",57,"p cover",2009,11,1.63434553370679,0.697541145329202,0.681575026335277
"502",2,1,1,0,"MF",58,"p cover",2009,11,1.74579391705544,0.768598198751738,0.728052612163534
"503",2,1,1,0,"MF",59,"p cover",2009,15,1.9238724131507,0.789039714882629,0.710427159868625
"504",2,1,1,0,"MF",60,"p cover",2009,15,1.95273431338093,0.803204096667783,0.721084975672217
"505",3,0,0,1,"C",13,"p cover",2009,13,1.97196674203223,0.765660912514059,0.768813129310215
"506",3,0,0,1,"C",14,"p cover",2009,12,2.13658030735751,0.854701849489796,0.859823167819924
"507",3,0,0,1,"C",15,"p cover",2009,9,1.8280381048383,0.786705879602437,0.831975995396201
"508",3,1,0,1,"F",16,"p cover",2009,6,1.55564921330375,0.760042444165902,0.868224357130913
"509",3,1,0,1,"F",17,"p cover",2009,11,1.54418007673997,0.658934507965812,0.643973110192548
"510",3,1,0,1,"F",18,"p cover",2009,7,1.44073807767138,0.705461311606123,0.740392909904305
"511",3,0,1,1,"M",61,"p cover",2009,14,2.16290828349716,0.857580374389208,0.819576088486296
"512",3,0,1,1,"M",62,"p cover",2009,11,1.88926952902476,0.797898248833762,0.787886589734155
"513",3,0,1,1,"M",63,"p cover",2009,13,1.92314995004006,0.803436532659745,0.749780865827057
"514",3,1,1,1,"MF",64,"p cover",2009,12,1.99622166413447,0.842493491492049,0.803338694556102
"515",3,1,1,1,"MF",65,"p cover",2009,10,1.94225817746627,0.815389149532362,0.843512008905066
"516",3,1,1,1,"MF",66,"p cover",2009,12,2.02773074482436,0.840284336407941,0.81601888143257
"517",4,0,0,0,"C",19,"p cover",2009,14,2.26541415453189,0.877227126058476,0.858417939280675
"518",4,0,0,0,"C",20,"p cover",2009,14,2.00086892353067,0.82645542084759,0.75817561864879
"519",4,0,0,0,"C",21,"p cover",2009,9,1.78688995177785,0.786919605819624,0.81324866388677
"520",4,1,0,0,"F",22,"p cover",2009,6,1.19089590441916,0.594273381360786,0.664651659372691
"521",4,1,0,0,"F",23,"p cover",2009,5,1.27551909710977,0.66888163607749,0.792524574732237
"522",4,1,0,0,"F",24,"p cover",2009,17,2.32734973839919,0.874255242742131,0.821452342543045
"523",4,0,1,0,"M",67,"p cover",2009,20,2.50221179831419,0.887956982707877,0.835258818153897
"524",4,0,1,0,"M",68,"p cover",2009,21,2.54739234274465,0.885349741894951,0.836713276007087
"525",4,0,1,0,"M",69,"p cover",2009,19,2.42246360314057,0.878320062263584,0.822725014945414
"526",4,1,1,0,"MF",70,"p cover",2009,15,2.28453443129486,0.866809809742933,0.843608597198467
"527",4,1,1,0,"MF",71,"p cover",2009,15,2.04364678326746,0.821650853323362,0.754656166431358
"528",4,1,1,0,"MF",72,"p cover",2009,16,2.15812875709644,0.844470279350986,0.778380413865724
"529",5,0,0,1,"C",25,"p cover",2009,13,2.11874603894459,0.830946545840788,0.826038156574546
"530",5,0,0,1,"C",26,"p cover",2009,10,2.11485641909771,0.865841839736265,0.918470472831807
"531",5,0,0,1,"C",27,"p cover",2009,5,0.796155225887537,0.402014751311991,0.494679055176126
"532",5,1,0,1,"F",28,"p cover",2009,9,1.67427151341029,0.741690716749474,0.761993803764962
"533",5,1,0,1,"F",29,"p cover",2009,9,1.7313313355391,0.781409033518108,0.78796284794796
"534",5,1,0,1,"F",30,"p cover",2009,7,1.74923041155373,0.8051682430326,0.898926608920221
"535",5,0,1,1,"M",73,"p cover",2009,20,2.65232681949724,0.91173253095603,0.885368443272351
"536",5,0,1,1,"M",74,"p cover",2009,14,2.0505384964143,0.803551483875499,0.776996571239033
"537",5,0,1,1,"M",75,"p cover",2009,17,2.23456267711132,0.86471459610348,0.788702581046077
"538",5,1,1,1,"MF",76,"p cover",2009,15,2.18376232458749,0.862874699427522,0.806396544531806
"539",5,1,1,1,"MF",77,"p cover",2009,14,2.19483589768582,0.861112988924933,0.831674201638431
"540",5,1,1,1,"MF",78,"p cover",2009,9,1.96442427775911,0.836002368702779,0.894048017677219
"541",6,0,0,0,"C",31,"p cover",2009,11,2.3062221657133,0.890307708806819,0.961769344923021
"542",6,0,0,0,"C",32,"p cover",2009,14,2.20344074522158,0.869552906214296,0.834934777844638
"543",6,0,0,0,"C",33,"p cover",2009,14,2.29837380642719,0.876724463222789,0.870907115444236
"544",6,1,0,0,"F",34,"p cover",2009,12,1.98734327938602,0.82872779369126,0.799765769694234
"545",6,1,0,0,"F",35,"p cover",2009,11,2.09588042797539,0.863195715438371,0.874050027017851
"546",6,1,0,0,"F",36,"p cover",2009,13,2.0100248670997,0.821652720541148,0.783650897922201
"547",6,0,1,0,"M",79,"p cover",2009,13,1.89043025444913,0.804962734835715,0.737024397362777
"548",6,0,1,0,"M",80,"p cover",2009,13,2.04314732154935,0.829910005383609,0.796564390484263
"549",6,0,1,0,"M",81,"p cover",2009,19,2.55388594638756,0.901198920996032,0.867359101159081
"550",6,1,1,0,"MF",82,"p cover",2009,11,1.75351377598392,0.775266466870913,0.731272043393934
"551",6,1,1,0,"MF",83,"p cover",2009,13,2.13225364426958,0.843683561738331,0.831304383482961
"552",6,1,1,0,"MF",84,"p cover",2009,13,1.72335125393932,0.699147598134148,0.671885099378676
"553",7,0,0,1,"C",37,"p cover",2009,11,2.14861952442511,0.860256696991695,0.89604393853183
